"NewFile","SourceIndex","Source","Group","Caption"
"amanda_qsp_v3_0001.jpg","38","E:\PIc\PIC\Новая папка\Generated Image June 15, 2026 - 11_34PM.jpg","portrait","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, side braid, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, upper body portrait, calm expression, rustic tavern background"
"amanda_qsp_v3_0002.jpg","41","E:\PIc\PIC\Новая папка\Generated Image June 15, 2026 - 11_37PM.jpg","portrait","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, side braid, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, upper body portrait, calm expression, rustic tavern background"
"amanda_qsp_v3_0003.jpg","43","E:\PIc\PIC\Новая папка\Generated Image June 15, 2026 - 11_41PM.jpg","portrait","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, side braid, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, upper body portrait, soft smile, rustic tavern background"
"amanda_qsp_v3_0004.jpg","45","E:\PIc\PIC\Новая папка\Generated Image June 15, 2026 - 11_44PM (1).jpg","portrait","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, side braid, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, upper body portrait, calm expression, rustic tavern background"
"amanda_qsp_v3_0005.jpg","46","E:\PIc\PIC\Новая папка\Generated Image June 15, 2026 - 11_55PM.jpg","portrait","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, side braid, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, upper body portrait, surprised expression, rustic tavern background"
"amanda_qsp_v3_0006.jpg","47","E:\PIc\PIC\Новая папка\Generated Image June 15, 2026 - 11_58PM.jpg","portrait","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, side braid, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, upper body portrait, calm expression, rustic tavern background"
"amanda_qsp_v3_0007.jpg","48","E:\PIc\PIC\Новая папка\Generated Image June 15, 2026 - 11_59PM.jpg","portrait","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, side braid, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, close-up face portrait, detailed eyes and skin, looking at viewer"
"amanda_qsp_v3_0008.jpg","49","E:\PIc\PIC\Новая папка\Generated Image June 16, 2026 - 12_02AM.jpg","portrait","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, side braid, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, close-up face portrait, detailed eyes and skin, looking at viewer"
"amanda_qsp_v3_0009.jpg","50","E:\PIc\PIC\Новая папка\Generated Image June 16, 2026 - 12_03AM.jpg","portrait","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, side braid, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, three-quarter upper body portrait, calm expression, rustic tavern background"
"amanda_qsp_v3_0010.jpg","51","E:\PIc\PIC\Новая папка\Generated Image June 16, 2026 - 12_04AM.jpg","portrait","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, side braid, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, close-up face portrait, detailed eyes and skin, looking at viewer"
