"NewFile","Source","Kind","Dress","Caption"
"amanda_qsp_v2_0001.png","E:\PIc\15_amanda_qsp\amanda_clean_0001.png","core","main","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, close-up portrait, pouting expression, looking at viewer, soft studio background"
"amanda_qsp_v2_0002.png","E:\PIc\15_amanda_qsp\amanda_clean_0002.png","core","main","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, full body standing pose, feet visible, soft studio background"
"amanda_qsp_v2_0003.png","E:\PIc\15_amanda_qsp\amanda_clean_0003.png","core","main","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, close-up portrait, pouting expression, looking at viewer, soft studio background"
"amanda_qsp_v2_0004.png","E:\PIc\15_amanda_qsp\amanda_clean_0004.png","core","main","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, upper body portrait, surprised expression, looking at viewer, soft studio background"
"amanda_qsp_v2_0005.png","E:\PIc\15_amanda_qsp\amanda_clean_0005.png","core","main","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, upper body portrait, neutral expression, looking at viewer, soft studio background"
"amanda_qsp_v2_0006.png","E:\PIc\15_amanda_qsp\amanda_clean_0006.png","core","main","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, upper body portrait, playful expression, looking at viewer, soft studio background"
"amanda_qsp_v2_0007.png","E:\PIc\15_amanda_qsp\amanda_clean_0007.png","core","main","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, full body standing pose, relaxed posture, soft studio background"
"amanda_qsp_v2_0008.png","E:\PIc\15_amanda_qsp\amanda_clean_0008.png","core","main","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, full body standing pose, three-quarter view, soft studio background"
"amanda_qsp_v2_0009.png","E:\PIc\15_amanda_qsp\amanda_clean_0009.png","core","main","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, side profile portrait, looking left, soft studio background"
"amanda_qsp_v2_0010.png","E:\PIc\15_amanda_qsp\amanda_clean_0010.png","core","main","amanda_qsp, young blonde woman, fair skin, blue-gray eyes, delicate youthful oval face, small straight nose, pale blonde hair, simple rustic hairstyle, cream medieval linen dress, peasant dress, rustic tavern dress, front lace-up bodice, three-quarter portrait, looking to the side, soft studio background"
